,Pressure,Temperature,Phase,Mass,S,H,V,Cp,Vis,F,Structure,Formula,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Mg#
0,12000.00,1673.15,liquid_0,97.412395,275.876628,-1115935.658816,34.457509,146.320267,1.508,0.9965633474437688,,,48.9364,1.17946,17.0706,1.09767,10.1015,0.153985,8.68671,9.64325,2.61716,0.513282,60.5
1,12000.00,1673.15,orthopyroxene_0,0.995403,2.580825,-12225.803857,0.309233,1.280809,,0.9965633474437688,,opx,Na0.00Ca0.06Fe''0.27Mg1.57Fe'''0.02Ti0.00Al0.17Si1.90O6,54.2383,0.105978,4.13229,0.671565,9.21523,0,29.9446,1.63565,0.0563896,0
0,12000.00,1671.15,liquid_0,97.078610,274.747807,-1112278.855526,34.335314,145.770098,1.518,0.9965789167965229,,,48.9183,1.18315,17.115,1.09904,10.1044,0.154514,8.61386,9.6707,2.62596,0.515047,60.3
1,12000.00,1671.15,orthopyroxene_0,0.334776,0.867371,-4110.448187,0.103966,0.430562,,0.9965789167965229,,opx,Na0.00Ca0.06Fe''0.27Mg1.56Fe'''0.02Ti0.00Al0.17Si1.90O6,54.2077,0.106364,4.15103,0.673922,9.27045,0,29.8758,1.65779,0.0569993,0
0,12000.00,1669.15,liquid_0,96.747484,273.627718,-1108653.464619,34.214113,145.224544,1.528,0.9965942641223197,,,48.9003,1.18684,17.1593,1.1004,10.1072,0.155043,8.54133,9.69805,2.63475,0.516809,60.1
1,12000.00,1669.15,orthopyroxene_0,0.332117,0.859869,-4076.440591,0.103105,0.426941,,0.9965942641223197,,opx,Na0.00Ca0.06Fe''0.27Mg1.56Fe'''0.02Ti0.00Al0.17Si1.90O6,54.177,0.106737,4.16969,0.676256,9.32605,0,29.8064,1.68033,0.0576167,0
0,12000.00,1667.15,liquid_0,96.418975,272.516232,-1105059.010928,34.093892,144.683534,1.538,0.9966093897373535,,,48.8824,1.19052,17.2035,1.10174,10.1097,0.155571,8.46912,9.72529,2.64353,0.51857,59.9
1,12000.00,1667.15,orthopyroxene_0,0.329500,0.852480,-4042.940778,0.102257,0.423374,,0.9966093897373535,,opx,Na0.00Ca0.06Fe''0.28Mg1.56Fe'''0.02Ti0.00Al0.17Si1.90O6,54.1462,0.107095,4.18827,0.678565,9.38201,0,29.7364,1.70329,0.0582418,0
0,12000.00,1665.15,liquid_0,96.093044,271.413218,-1101495.025333,33.974635,144.147002,1.548,0.9966242938640572,,,48.8647,1.19419,17.2476,1.10307,10.1121,0.156099,8.39723,9.75242,2.6523,0.520329,59.7
1,12000.00,1665.15,orthopyroxene_0,0.326923,0.845205,-4009.942215,0.101421,0.419861,,0.9966242938640572,,opx,Na0.00Ca0.07Fe''0.28Mg1.56Fe'''0.02Ti0.00Al0.17Si1.90O6,54.1153,0.107439,4.20677,0.680849,9.43834,0,29.6658,1.72667,0.0588748,0
0,12000.00,1663.15,liquid_0,95.769649,270.318549,-1097961.044564,33.856329,143.614879,1.558,0.9966389766296648,,,48.847,1.19786,17.2916,1.10439,10.1143,0.156626,8.32565,9.77944,2.66105,0.522086,59.5
1,12000.00,1663.15,orthopyroxene_0,0.324385,0.838040,-3977.438587,0.100599,0.416402,,0.9966389766296648,,opx,Na0.00Ca0.07Fe''0.28Mg1.55Fe'''0.02Ti0.00Al0.18Si1.90O6,54.0843,0.107769,4.22518,0.683108,9.49504,0,29.5946,1.75049,0.0595159,0
0,12000.00,1661.15,liquid_0,95.448751,269.232099,-1094456.610998,33.738957,143.087099,1.567,0.9966534380656066,,,48.8295,1.20152,17.3354,1.1057,10.1163,0.157152,8.25439,9.80635,2.6698,0.523841,59.3
1,12000.00,1661.15,orthopyroxene_0,0.321887,0.830986,-3945.423789,0.099789,0.412994,,0.9966534380656066,,opx,Na0.00Ca0.07Fe''0.28Mg1.55Fe'''0.02Ti0.00Al0.18Si1.90O6,54.0533,0.108083,4.2435,0.68534,9.55211,0,29.5228,1.77476,0.0601651,0
0,12000.00,1659.15,liquid_0,95.130313,268.153744,-1090981.272460,33.622506,142.563596,1.577,0.9966676781035005,,,48.8122,1.20518,17.3792,1.10699,10.1181,0.157678,8.18344,9.83315,2.67853,0.525595,59.0
1,12000.00,1659.15,orthopyroxene_0,0.319428,0.824039,-3913.891925,0.098992,0.409639,,0.9966676781035005,,opx,Na0.00Ca0.07Fe''0.28Mg1.55Fe'''0.02Ti0.00Al0.18Si1.90O6,54.0221,0.108382,4.26174,0.687546,9.60956,0,29.4503,1.79949,0.0608227,0
0,12000.00,1657.15,liquid_0,94.814294,267.083362,-1087534.582028,33.506962,142.044304,1.587,0.9966816965787397,,,48.7949,1.20884,17.4229,1.10827,10.1197,0.158204,8.11281,9.85985,2.68725,0.527347,58.8
1,12000.00,1657.15,orthopyroxene_0,0.317008,0.817200,-3882.837309,0.098207,0.406334,,0.9966816965787397,,opx,Na0.00Ca0.07Fe''0.28Mg1.54Fe'''0.02Ti0.00Al0.18Si1.90O6,53.9909,0.108666,4.27988,0.689725,9.66738,0,29.3772,1.8247,0.0614888,0
0,12000.00,1655.15,liquid_0,94.500657,266.020831,-1084116.097839,33.392311,141.529160,1.598,0.9966954932220481,,,48.7778,1.21249,17.4664,1.10954,10.1211,0.158729,8.04248,9.88643,2.69597,0.529097,58.6
1,12000.00,1655.15,orthopyroxene_0,0.314626,0.810466,-3852.254456,0.097435,0.403080,,0.9966954932220481,,opx,Na0.00Ca0.07Fe''0.29Mg1.54Fe'''0.02Ti0.00Al0.18Si1.90O6,53.9596,0.108934,4.29792,0.691876,9.72558,0,29.3035,1.8504,0.0621636,0
0,12000.00,1653.15,liquid_0,94.189365,264.966031,-1080725.382896,33.278539,141.018101,1.608,0.9967090676618251,,,48.7608,1.21613,17.5099,1.11079,10.1223,0.159254,7.97247,9.9129,2.70467,0.530845,58.4
1,12000.00,1653.15,orthopyroxene_0,0.312281,0.803837,-3822.138087,0.096674,0.399876,,0.9967090676618251,,opx,Na0.00Ca0.07Fe''0.29Mg1.54Fe'''0.02Ti0.00Al0.18Si1.90O6,53.9282,0.109185,4.31587,0.693998,9.78415,0,29.2291,1.87661,0.0628472,0
0,12000.00,1651.15,liquid_0,93.880379,263.918844,-1077362.004875,33.165632,140.511062,1.618,0.9967224194215266,,,48.7439,1.21978,17.5532,1.11203,10.1233,0.159778,7.90276,9.93926,2.71336,0.532593,58.2
1,12000.00,1651.15,orthopyroxene_0,0.309974,0.797311,-3792.483126,0.095926,0.396722,,0.9967224194215266,,opx,Na0.00Ca0.07Fe''0.29Mg1.53Fe'''0.02Ti0.00Al0.18Si1.90O6,53.8968,0.10942,4.33371,0.696092,9.84309,0,29.154,1.90334,0.0635399,0
0,12000.00,1649.15,liquid_0,93.573663,262.879154,-1074025.535938,33.053576,140.007983,1.628,0.9940735221586756,,,48.7271,1.22342,17.5965,1.11326,10.1242,0.160302,7.83335,9.96551,2.72204,0.534338,58.0
1,12000.00,1649.15,orthopyroxene_0,0.307704,0.790886,-3763.284693,0.095189,0.393616,,0.9940735221586756,,opx,Na0.00Ca0.07Fe''0.29Mg1.53Fe'''0.02Ti0.00Al0.18Si1.90O6,53.8652,0.109639,4.35145,0.698156,9.90241,0,29.0783,1.9306,0.0642417,0
0,12000.00,1647.15,liquid_0,93.020054,261.149912,-1067885.573294,32.856420,139.117693,1.640,0.9948001562077425,,,48.7053,1.22985,17.6693,1.11416,10.1198,0.161256,7.7322,9.99346,2.73716,0.537519,57.7
1,12000.00,1647.15,clinopyroxene_0,0.554568,1.419735,-6665.805987,0.171247,0.694852,,0.9948001562077425,cpx,Na0.01Ca0.20Fe''0.33Mg1.33Fe'''0.02Ti0.00Al0.23Si1.88O6,52.4002,0.143057,5.3614,0.886886,10.9232,0,24.8389,5.26503,0.18126,0,
0,12000.00,1645.15,liquid_0,92.537326,259.622309,-1062567.323688,32.683953,138.342028,1.651,0.9947272241721068,,,48.6864,1.2355,17.7332,1.11493,10.1158,0.162097,7.64403,10.0172,2.75047,0.540323,57.4
1,12000.00,1645.15,clinopyroxene_0,0.483695,1.237041,-5812.169216,0.149287,0.605423,,0.9947272241721068,cpx,Na0.01Ca0.21Fe''0.33Mg1.32Fe'''0.02Ti0.00Al0.23Si1.88O6,52.3234,0.145449,5.42708,0.897211,10.9422,0,24.6361,5.44149,0.187036,0,
0,12000.00,1643.15,liquid_0,92.050360,258.084679,-1057200.027175,32.510092,137.560244,1.663,0.9946436085948480,,,48.6676,1.24126,17.7979,1.11568,10.1117,0.162954,7.55528,10.0404,2.764,0.543181,57.1
1,12000.00,1643.15,clinopyroxene_0,0.487934,1.246583,-5861.444363,0.150520,0.610068,,0.9946436085948480,cpx,Na0.01Ca0.22Fe''0.33Mg1.31Fe'''0.02Ti0.00Al0.23Si1.87O6,52.2437,0.147995,5.49571,0.908067,10.9563,0,24.4226,5.63238,0.19326,0,
0,12000.00,1641.15,liquid_0,91.558266,256.534562,-1051773.290115,32.334524,136.770950,1.675,0.9945470295763627,,,48.6489,1.24712,17.8637,1.1164,10.1074,0.16383,7.46585,10.063,2.77778,0.5461,56.8
1,12000.00,1641.15,clinopyroxene_0,0.493063,1.258336,-5921.523871,0.152025,0.615783,,0.9945470295763627,cpx,Na0.01Ca0.22Fe''0.33Mg1.30Fe'''0.02Ti0.00Al0.24Si1.87O6,52.1606,0.150727,5.5677,0.919536,10.9645,0,24.1967,5.84022,0.200008,0,
0,12000.00,1639.15,liquid_0,91.059968,254.968982,-1046274.522617,32.156874,135.972463,1.687,0.9944344262010877,,,48.6301,1.2531,17.9305,1.11709,10.103,0.164727,7.37562,10.0848,2.79184,0.549089,56.5
1,12000.00,1639.15,clinopyroxene_0,0.499270,1.272760,-5994.691636,0.153861,0.622792,,0.9944344262010877,cpx,Na0.01Ca0.23Fe''0.33Mg1.28Fe'''0.03Ti0.00Al0.24Si1.87O6,52.0737,0.153682,5.6436,0.931725,10.9653,0,23.9565,6.06818,0.207372,0,
0,12000.00,1637.15,liquid_0,90.554134,253.384272,-1040688.174649,31.976678,135.162708,1.698,0.9943015669387358,,,48.6114,1.25922,17.9987,1.11776,10.0985,0.165647,7.28445,10.1059,2.80623,0.552156,56.3
1,12000.00,1637.15,clinopyroxene_0,0.506806,1.290477,-6084.026857,0.156104,0.631394,,0.9943015669387358,cpx,Na0.02Ca0.24Fe''0.33Mg1.27Fe'''0.03Ti0.00Al0.24Si1.87O6,51.9822,0.156911,5.72408,0.944772,10.957,0,23.699,6.32052,0.215477,0,
0,12000.00,1635.15,liquid_0,90.039088,251.775800,-1034994.587617,31.793348,134.339067,1.711,0.9941423892196828,,,48.5927,1.26551,18.0684,1.1184,10.094,0.166594,7.19215,10.1259,2.821,0.555314,55.9
1,12000.00,1635.15,clinopyroxene_0,0.516022,1.312347,-6193.804748,0.158861,0.642008,,0.9941423892196828,cpx,Na0.02Ca0.25Fe''0.33Mg1.26Fe'''0.03Ti0.00Al0.25Si1.87O6,51.8854,0.160485,5.81007,0.958864,10.9371,0,23.4205,6.60298,0.22449,0,
0,12000.00,1633.15,liquid_0,89.512646,250.137549,-1029168.192103,31.606122,133.498137,1.723,0.9939478122442101,,,48.574,1.27198,18.14,1.11901,10.0894,0.167574,7.09851,10.1447,2.83621,0.55858,55.6
1,12000.00,1633.15,clinopyroxene_0,0.527420,1.339607,-6330.178091,0.162288,0.655232,,0.9939478122442101,cpx,Na0.02Ca0.27Fe''0.33Mg1.24Fe'''0.03Ti0.00Al0.25Si1.87O6,51.782,0.164507,5.90283,0.97426,10.9021,0,23.1159,6.92373,0.234646,0,
0,12000.00,1631.15,liquid_0,88.971875,248.461422,-1023174.526376,31.413973,132.635340,1.735,0.9937034451178513,,,48.5552,1.27869,18.2138,1.11958,10.085,0.168593,7.00322,10.162,2.85195,0.561975,55.3
1,12000.00,1631.15,clinopyroxene_0,0.541753,1.374113,-6502.406941,0.166614,0.671964,,0.9937034451178513,cpx,Na0.02Ca0.28Fe''0.33Mg1.22Fe'''0.03Ti0.00Al0.26Si1.86O6,51.6702,0.169131,6.00419,0.991342,10.8465,0,22.7775,7.29481,0.246286,0,
0,12000.00,1629.15,liquid_0,88.412639,246.736014,-1016964.970229,31.215452,131.744234,1.748,0.9933847651251004,,,48.5362,1.28567,18.2903,1.12012,10.0809,0.169659,6.90588,10.1774,2.86835,0.56553,55.0
1,12000.00,1629.15,clinopyroxene_0,0.560223,1.418810,-6725.242301,0.172209,0.693632,,0.9933847651251004,cpx,Na0.02Ca0.30Fe''0.32Mg1.20Fe'''0.03Ti0.00Al0.26Si1.86O6,51.5474,0.174604,6.11696,1.0107,10.762,0,22.3933,7.73514,0.259941,0,
