,Pressure,Temperature,Phase,Mass,S,H,V,Cp,Vis,Structure,Formula,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#
0,2000.00,1973.15,liquid_0,99.568002,308.141544,-1128991.612979,37.749313,148.788116,0.737,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1968.15,liquid_0,99.568002,307.764034,-1129735.553572,37.737288,148.788121,0.750,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1963.15,liquid_0,99.568002,307.385563,-1130479.494187,37.725264,148.788125,0.762,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1958.15,liquid_0,99.568002,307.006127,-1131223.434826,37.713240,148.788130,0.775,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1953.15,liquid_0,99.568002,306.625721,-1131967.375488,37.701217,148.788135,0.788,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1948.15,liquid_0,99.568002,306.244340,-1132711.316173,37.689194,148.788139,0.801,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1943.15,liquid_0,99.568002,305.861979,-1133455.256880,37.677172,148.788144,0.814,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1938.15,liquid_0,99.568002,305.478632,-1134199.197611,37.665150,148.788149,0.827,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1933.15,liquid_0,99.568002,305.094296,-1134943.138365,37.653129,148.788153,0.840,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1928.15,liquid_0,99.568002,304.708964,-1135687.079143,37.641108,148.788158,0.853,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1923.15,liquid_0,99.568002,304.322631,-1136431.019943,37.629087,148.788162,0.867,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1918.15,liquid_0,99.568002,303.935293,-1137174.960767,37.617067,148.788167,0.880,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1913.15,liquid_0,99.568002,303.546944,-1137918.901614,37.605048,148.788172,0.894,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1908.15,liquid_0,99.568002,303.157578,-1138662.842484,37.593029,148.788176,0.907,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1903.15,liquid_0,99.568002,302.767191,-1139406.783377,37.581010,148.788181,0.921,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1898.15,liquid_0,99.568002,302.375777,-1140150.724293,37.568992,148.788186,0.934,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1893.15,liquid_0,99.568002,301.983330,-1140894.665233,37.556974,148.788190,0.948,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1888.15,liquid_0,99.568002,301.589846,-1141638.606196,37.544957,148.788195,0.962,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1883.15,liquid_0,99.568002,301.195318,-1142382.547183,37.532941,148.788200,0.976,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1878.15,liquid_0,99.568002,300.799741,-1143126.488192,37.520925,148.788204,0.990,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1873.15,liquid_0,99.568002,300.403110,-1143870.429226,37.508909,148.788209,1.004,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1868.15,liquid_0,99.568002,300.005418,-1144614.370282,37.496894,148.788214,1.018,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1863.15,liquid_0,99.568002,299.606661,-1145358.311362,37.484879,148.788218,1.032,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1858.15,liquid_0,99.568002,299.206832,-1146102.252465,37.472865,148.788223,1.046,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1853.15,liquid_0,99.568002,298.805926,-1146846.193592,37.460851,148.788228,1.060,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
